employeeid,age,attrition,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,environmentsatisfaction,jobsatisfaction,worklifebalance,jobinvolvement,performancerating,mean_time
1806,36,No,Travel_Rarely,Sales,6,3,Medical,Female,2,Sales Executive,Married,42000,0.0,22,0,10.0,3,9,0,5,3.0,2.0,3.0,3,4,7.469937527889167
1807,29,No,Travel_Rarely,Research & Development,10,3,Other,Male,1,Research Scientist,Married,34520,1.0,11,0,10.0,3,10,0,7,3.0,3.0,3.0,2,3,7.163153726015
1808,58,Yes,Travel_Rarely,Research & Development,24,3,Other,Female,2,Research Scientist,Single,43170,7.0,17,0,40.0,2,31,13,8,4.0,2.0,3.0,3,3,8.575352521195834
1809,35,No,Travel_Rarely,Sales,10,4,Marketing,Female,1,Research Scientist,Single,26320,3.0,13,3,7.0,3,2,2,2,4.0,3.0,3.0,4,3,7.572792280231944
1810,42,No,Travel_Rarely,Sales,15,1,Marketing,Male,2,Laboratory Technician,Married,46680,9.0,18,2,8.0,2,4,0,2,4.0,4.0,3.0,3,3,9.865640339134167
1811,28,Yes,Travel_Rarely,Research & Development,19,4,Medical,Female,2,Sales Executive,Single,32040,6.0,16,1,5.0,4,2,2,1,3.0,3.0,2.0,2,3,5.819590584560277
1812,36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Healthcare Representative,Married,27200,4.0,14,1,8.0,3,5,0,4,3.0,2.0,3.0,3,3,6.1137817938419445
1813,32,No,Travel_Rarely,Research & Development,3,1,Medical,Male,2,Manufacturing Director,Married,171810,1.0,14,0,14.0,2,14,6,8,3.0,3.0,3.0,2,3,7.832437527889167
1814,40,No,Travel_Frequently,Sales,9,3,Marketing,Male,3,Manufacturing Director,Single,22380,6.0,14,0,10.0,3,1,0,0,1.0,3.0,3.0,3,3,6.628645693886389
1815,30,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Research Director,Single,14830,5.0,13,0,12.0,3,0,0,0,3.0,4.0,2.0,3,3,9.250929272646111
1816,45,No,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,1,Research Director,Single,56050,1.0,12,2,1.0,2,1,0,0,2.0,3.0,3.0,3,3,6.177958500669167
1817,42,No,Travel_Rarely,Research & Development,20,2,Medical,Male,2,Sales Representative,Married,72950,1.0,15,0,10.0,3,9,7,8,2.0,2.0,2.0,3,3,7.16703145917
1818,38,No,Travel_Frequently,Sales,4,3,Medical,Male,2,Research Scientist,Divorced,23060,2.0,19,1,13.0,5,4,1,2,1.0,1.0,2.0,3,3,7.044221329763333
1819,34,No,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,3,Laboratory Technician,Single,23480,1.0,14,1,6.0,3,5,1,3,3.0,4.0,3.0,3,3,6.381927710843334
1820,49,Yes,Travel_Rarely,Sales,7,2,Life Sciences,Female,2,Healthcare Representative,Married,89980,1.0,14,2,9.0,2,9,7,7,3.0,4.0,4.0,4,3,5.831321954484444
1821,55,Yes,Travel_Rarely,Human Resources,16,3,Technical Degree,Male,4,Manufacturing Director,Single,43190,4.0,11,0,12.0,3,9,7,3,3.0,4.0,2.0,4,3,6.2616198125836116
1822,43,No,Travel_Rarely,Research & Development,25,2,Medical,Male,2,Healthcare Representative,Married,61320,6.0,13,0,22.0,3,4,1,0,2.0,1.0,3.0,2,3,6.905184069611667
1823,27,No,Travel_Rarely,Sales,2,4,Medical,Male,2,Manager,Divorced,33460,1.0,21,1,9.0,2,9,0,8,3.0,4.0,3.0,2,4,10.356290718429166
1824,35,No,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Research Director,Single,108550,3.0,13,1,17.0,2,8,1,6,3.0,3.0,4.0,3,3,6.459844935296666
1825,28,No,Travel_Rarely,Sales,1,2,Technical Degree,Female,1,Sales Executive,Married,22310,1.0,12,0,8.0,3,8,7,5,2.0,2.0,3.0,2,3,9.712416331994444
1826,34,No,Travel_Rarely,Sales,2,5,Life Sciences,Male,4,Research Scientist,Married,23230,0.0,17,0,4.0,2,3,0,2,3.0,4.0,1.0,3,3,6.636084337349167
1827,26,Yes,Travel_Frequently,Research & Development,22,4,Other,Female,1,Sales Executive,Married,20240,1.0,23,0,8.0,2,8,1,7,3.0,3.0,3.0,3,4,7.433334448906667
1828,27,No,Non-Travel,Sales,1,3,Technical Degree,Female,1,Sales Executive,Married,27130,1.0,11,0,0.0,2,0,0,0,4.0,4.0,2.0,3,3,6.6963163766175
1829,51,No,Travel_Rarely,Sales,16,3,Medical,Male,3,Research Scientist,Married,94390,2.0,15,3,29.0,0,20,4,17,1.0,3.0,2.0,3,3,5.837516733600833
1830,44,No,Travel_Rarely,Sales,24,5,Medical,Female,1,Sales Executive,Single,25660,9.0,11,1,10.0,3,5,2,3,4.0,2.0,2.0,3,3,5.916270638107778
1831,25,No,Travel_Rarely,Research & Development,17,3,Medical,Male,1,Laboratory Technician,Single,199260,7.0,11,3,6.0,5,4,0,1,1.0,1.0,2.0,4,3,5.890782016956667
1832,33,No,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,3,Laboratory Technician,Divorced,24510,1.0,13,1,9.0,3,9,0,8,1.0,1.0,3.0,2,3,5.515365908076666
1833,35,No,Travel_Rarely,Sales,6,4,Medical,Female,2,Manager,Single,94190,1.0,24,1,6.0,5,6,1,1,3.0,1.0,2.0,2,4,6.341740294511111
1834,36,No,Travel_Rarely,Sales,10,4,Marketing,Male,3,Manager,Married,86860,1.0,13,0,18.0,2,18,4,11,2.0,4.0,2.0,3,3,9.28184181169111
1835,32,No,Travel_Rarely,Research & Development,3,4,Medical,Female,4,Sales Executive,Divorced,30380,2.0,20,0,8.0,3,5,0,3,2.0,4.0,2.0,3,4,7.233784024988611
1836,30,No,Travel_Frequently,Research & Development,4,5,Medical,Male,5,Sales Representative,Divorced,30580,9.0,14,1,10.0,2,5,0,3,2.0,4.0,2.0,3,3,5.969952030343333
1837,53,No,Travel_Rarely,Sales,6,3,Marketing,Male,4,Sales Executive,Married,23250,7.0,18,1,35.0,1,5,0,4,1.0,4.0,3.0,4,3,9.9060051316375
1838,45,No,Travel_Rarely,Research & Development,1,5,Technical Degree,Male,2,Healthcare Representative,Divorced,20880,4.0,15,3,18.0,2,5,0,2,4.0,1.0,3.0,3,3,7.775298973672222
1839,32,No,Travel_Rarely,Sales,10,3,Marketing,Female,1,Human Resources,Married,30720,5.0,12,0,9.0,4,5,1,3,3.0,3.0,2.0,1,3,6.420800981704445
1840,52,No,Travel_Frequently,Research & Development,1,1,Life Sciences,Male,2,Laboratory Technician,Married,50060,3.0,16,1,31.0,2,9,0,0,3.0,4.0,3.0,3,3,7.19817826863
1841,37,No,Travel_Rarely,Sales,24,2,Life Sciences,Female,4,Laboratory Technician,Divorced,42570,4.0,15,0,9.0,2,1,0,0,4.0,3.0,3.0,3,3,5.931371039714167
1842,28,No,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,1,Healthcare Representative,Divorced,25000,1.0,16,2,6.0,3,5,0,4,2.0,4.0,3.0,3,3,6.138780678268611
1843,22,No,Travel_Rarely,Research & Development,2,2,Life Sciences,Male,1,Sales Representative,Married,11020,6.0,19,0,4.0,3,2,2,2,4.0,4.0,1.0,2,3,5.874872824631667
1844,44,No,Travel_Rarely,Research & Development,22,3,Medical,Female,1,Laboratory Technician,Married,104530,2.0,11,1,10.0,2,3,0,2,1.0,4.0,2.0,3,3,10.903669120928056
1845,42,No,Travel_Frequently,Sales,13,4,Life Sciences,Female,2,Laboratory Technician,Single,22880,5.0,16,1,8.0,4,2,2,2,2.0,4.0,3.0,2,3,7.812362784471111
1846,36,No,Travel_Rarely,Research & Development,14,3,Other,Male,2,Research Scientist,Married,39290,0.0,24,0,6.0,6,5,0,3,1.0,1.0,3.0,2,4,7.116540606871666
1847,25,No,Travel_Rarely,Sales,11,3,Life Sciences,Female,1,Laboratory Technician,Married,23110,1.0,11,1,5.0,2,5,0,3,3.0,1.0,3.0,3,3,9.853332217759721
1848,35,No,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Healthcare Representative,Married,31400,1.0,13,1,17.0,2,17,5,15,4.0,3.0,3.0,2,3,8.1786099955375
1849,35,Yes,Travel_Frequently,Sales,8,2,Marketing,Female,1,Laboratory Technician,Divorced,36900,1.0,13,1,10.0,2,10,7,8,4.0,2.0,3.0,4,3,9.534225792056944
1850,32,No,Non-Travel,Research & Development,21,3,Life Sciences,Male,1,Sales Executive,Divorced,44500,0.0,13,0,4.0,3,3,0,2,4.0,4.0,3.0,3,3,7.200829986613056
1851,25,No,Travel_Rarely,Sales,5,3,Marketing,Female,4,Research Scientist,Married,27560,1.0,12,2,5.0,2,5,0,3,3.0,1.0,4.0,3,3,7.344911869700834
1852,49,No,Travel_Rarely,Sales,9,3,Technical Degree,Female,2,Sales Representative,Married,190330,2.0,18,1,7.0,5,4,0,2,3.0,1.0,3.0,3,3,7.124975457385
1853,24,No,Non-Travel,Research & Development,2,5,Technical Degree,Male,2,Healthcare Representative,Married,187220,0.0,22,1,6.0,3,5,3,4,1.0,4.0,2.0,3,4,7.165268853190278
1854,32,No,Travel_Frequently,Research & Development,12,5,Medical,Male,1,Research Scientist,Married,95470,1.0,13,1,10.0,3,10,5,3,2.0,2.0,3.0,2,3,6.490570058009722
1855,38,No,Travel_Rarely,Sales,22,2,Medical,Male,1,Sales Executive,Married,137340,0.0,13,0,3.0,3,2,1,2,2.0,2.0,3.0,4,3,6.742812360553056
1856,42,No,Travel_Rarely,Research & Development,18,1,Technical Degree,Female,2,Research Scientist,Married,199990,2.0,23,1,17.0,6,5,1,3,3.0,4.0,2.0,3,4,9.136895359214444
1857,31,No,Travel_Rarely,Research & Development,16,3,Life Sciences,Female,3,Sales Executive,Married,22790,3.0,12,1,8.0,3,6,0,2,4.0,4.0,3.0,3,3,9.326652164212222
1858,29,Yes,Travel_Rarely,Sales,3,3,Marketing,Male,3,Laboratory Technician,Divorced,59160,6.0,12,0,5.0,2,3,0,2,2.0,3.0,3.0,3,3,9.294872824631666
1859,53,No,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,1,Sales Representative,Married,20890,5.0,16,0,28.0,2,2,2,2,1.0,4.0,3.0,2,3,5.8204038375725
1860,35,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Healthcare Representative,Married,167920,3.0,12,1,16.0,3,13,4,8,4.0,2.0,3.0,4,3,6.919458946898611
1861,37,No,Travel_Frequently,Research & Development,13,4,Life Sciences,Female,3,Human Resources,Married,35640,5.0,11,0,10.0,1,5,0,0,3.0,4.0,3.0,1,3,7.193168228469166
1862,53,No,Travel_Rarely,Research & Development,1,1,Medical,Male,1,Sales Executive,Single,44250,6.0,22,1,33.0,2,12,3,8,4.0,4.0,3.0,4,4,6.4804038375725
1863,43,No,Travel_Frequently,Research & Development,1,3,Medical,Male,1,Laboratory Technician,Married,52650,4.0,11,1,12.0,4,5,2,2,4.0,4.0,2.0,3,3,7.0891030789825
1864,47,No,Travel_Rarely,Sales,15,4,Marketing,Female,3,Research Director,Married,65530,0.0,15,0,8.0,2,7,7,7,3.0,4.0,3.0,3,3,9.904859437750833
1865,37,No,Non-Travel,Research & Development,1,5,Medical,Female,2,Research Scientist,Single,62610,1.0,12,0,10.0,1,10,0,9,1.0,2.0,3.0,3,3,7.9432954038375
1866,50,No,Non-Travel,Research & Development,17,3,Medical,Female,1,Laboratory Technician,Divorced,42980,1.0,20,1,31.0,6,31,14,7,1.0,1.0,3.0,3,4,5.976567380633611
1867,39,No,Travel_Rarely,Research & Development,1,3,Other,Female,3,Human Resources,Married,68040,8.0,14,1,13.0,3,5,0,4,4.0,4.0,3.0,2,3,6.5939781347611115
1868,33,No,Travel_Rarely,Sales,7,3,Life Sciences,Male,2,Manufacturing Director,Divorced,38150,3.0,11,1,7.0,3,4,0,3,4.0,2.0,4.0,3,3,9.1238442659525
1869,32,Yes,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Laboratory Technician,Single,27410,1.0,15,1,1.0,5,1,0,1,1.0,4.0,1.0,2,3,9.356103302097223
1870,29,No,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,4,Healthcare Representative,Divorced,66730,6.0,12,1,8.0,2,4,0,3,1.0,4.0,3.0,4,3,6.2413163766175
1871,44,No,Travel_Rarely,Research & Development,26,2,Life Sciences,Male,2,Manufacturing Director,Married,76390,1.0,14,0,8.0,6,8,7,1,2.0,1.0,3.0,3,3,9.146325301204723
1872,28,No,Travel_Rarely,Sales,24,5,Life Sciences,Female,1,Research Scientist,Single,23280,1.0,11,2,4.0,3,4,0,2,1.0,4.0,3.0,3,3,5.964618473895555
1873,58,Yes,Travel_Frequently,Sales,9,2,Technical Degree,Male,1,Sales Executive,Divorced,21530,9.0,11,0,3.0,3,1,0,0,4.0,4.0,2.0,3,3,10.08156291834
1874,43,No,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Divorced,48760,4.0,16,2,4.0,4,1,0,0,1.0,2.0,4.0,3,3,6.3651026327530555
1875,20,Yes,Travel_Rarely,Research & Development,11,3,Medical,Male,2,Sales Executive,Single,93960,1.0,12,0,2.0,6,2,0,2,3.0,3.0,2.0,1,3,6.929782463185833
1876,21,Yes,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Sales Executive,Single,104000,1.0,13,1,1.0,2,1,0,0,4.0,4.0,2.0,3,3,7.291195894689722
1877,36,No,Travel_Rarely,Research & Development,26,4,Medical,Male,1,Laboratory Technician,Married,84740,0.0,14,0,17.0,3,16,4,11,3.0,4.0,2.0,3,3,9.572527889335
1878,47,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Single,99810,1.0,21,1,3.0,3,3,1,2,4.0,4.0,2.0,3,4,8.34445894689861
1879,22,Yes,Travel_Rarely,Research & Development,15,4,Life Sciences,Female,1,Laboratory Technician,Married,124900,0.0,13,0,4.0,3,3,0,2,2.0,3.0,4.0,3,3,9.420705042391667
1880,41,Yes,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,2,Sales Executive,Divorced,26570,4.0,11,0,10.0,3,7,1,0,2.0,4.0,2.0,4,3,9.777105087014721
1881,28,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,3,Manager,Divorced,135910,5.0,20,1,6.0,2,2,2,2,3.0,3.0,3.0,3,4,7.5263688085675
1882,39,Yes,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,Human Resources,Married,66960,7.0,11,0,8.0,3,2,2,2,4.0,1.0,1.0,3,3,10.3487394020525
1883,27,No,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Research Scientist,Single,20580,1.0,14,1,1.0,5,1,0,0,2.0,3.0,3.0,3,3,7.049634091923055
1884,34,No,Travel_Rarely,Research & Development,12,2,Technical Degree,Male,2,Human Resources,Divorced,88650,1.0,11,1,1.0,0,1,1,0,2.0,2.0,3.0,3,3,7.164177822400555
1885,42,No,Travel_Rarely,Sales,11,1,Technical Degree,Male,2,Human Resources,Single,59400,7.0,16,0,10.0,2,5,0,3,3.0,3.0,3.0,2,3,6.3501941097722225
1886,33,No,Travel_Rarely,Sales,2,3,Marketing,Female,1,Sales Executive,Single,59140,3.0,16,1,6.0,4,3,0,2,3.0,1.0,3.0,3,3,10.275272199910555
1887,58,No,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,1,Research Scientist,Divorced,26220,2.0,23,0,24.0,3,6,0,4,3.0,2.0,3.0,3,4,7.778037706380833
1888,31,No,Travel_Rarely,Sales,1,3,Life Sciences,Female,1,Sales Representative,Married,121850,3.0,14,0,13.0,2,7,5,2,2.0,3.0,4.0,3,3,5.6763409192322225
1889,35,No,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,3,Healthcare Representative,Married,106090,1.0,22,0,10.0,3,10,0,7,4.0,4.0,1.0,3,4,10.268588799642778
1890,49,No,Travel_Rarely,Research & Development,25,2,Life Sciences,Female,2,Sales Executive,Married,43450,4.0,15,0,29.0,3,26,1,7,1.0,2.0,2.0,2,3,6.427543507362778
1891,48,No,Travel_Rarely,Research & Development,1,4,Medical,Male,1,Research Scientist,Married,21770,4.0,18,0,13.0,4,0,0,0,4.0,3.0,2.0,3,3,6.268158188308611
1892,31,No,Non-Travel,Research & Development,1,2,Technical Degree,Female,2,Sales Executive,Married,27930,1.0,16,0,9.0,4,9,0,0,4.0,3.0,2.0,3,3,6.771792726461389
1893,36,No,Travel_Rarely,Human Resources,2,4,Technical Degree,Male,1,Sales Executive,Single,79180,2.0,12,2,8.0,3,6,0,1,2.0,4.0,3.0,2,3,6.203937974118611
1894,38,No,Travel_Rarely,Sales,6,3,Other,Male,2,Sales Executive,Married,87890,1.0,11,3,15.0,4,15,5,11,4.0,1.0,3.0,3,3,6.758566488174722
1895,32,No,Non-Travel,Sales,18,3,Marketing,Male,1,Laboratory Technician,Married,23890,6.0,12,1,5.0,4,3,0,2,3.0,2.0,3.0,2,3,6.900551093261667
1896,25,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,32120,1.0,15,1,1.0,3,1,0,0,3.0,2.0,3.0,2,3,8.236796073181388
1897,40,No,Travel_Rarely,Research & Development,1,4,Medical,Male,2,Research Scientist,Divorced,192320,2.0,14,1,11.0,3,1,0,0,1.0,2.0,2.0,3,3,5.67755243195
1898,26,No,Travel_Frequently,Sales,11,3,Marketing,Male,2,Healthcare Representative,Single,22670,1.0,19,3,7.0,2,7,0,7,3.0,1.0,3.0,2,3,7.189618473895556
1899,41,No,Travel_Rarely,Research & Development,1,4,Medical,Male,1,Research Scientist,Single,195170,2.0,13,0,20.0,5,18,2,17,4.0,1.0,3.0,3,3,9.951400044622778
1900,36,No,Travel_Rarely,Research & Development,9,3,Life Sciences,Female,2,Healthcare Representative,Single,24360,4.0,13,0,16.0,3,11,3,9,3.0,3.0,3.0,1,3,6.5325959393127775
1901,19,Yes,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,160640,1.0,15,1,1.0,3,1,0,0,4.0,2.0,4.0,3,3,10.050090361445555
1902,20,Yes,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Laboratory Technician,Single,27070,1.0,11,0,1.0,2,1,0,0,1.0,1.0,3.0,3,3,5.731233824185556
1903,31,No,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,4,Research Director,Married,190680,0.0,12,0,10.0,1,9,8,5,4.0,4.0,1.0,3,3,7.812166443551944
1904,40,No,Travel_Frequently,Sales,1,3,Marketing,Male,1,Research Scientist,Divorced,39310,8.0,19,0,3.0,2,1,0,0,4.0,2.0,3.0,2,3,7.6651160196338886
1905,32,No,Travel_Rarely,Research & Development,24,3,Life Sciences,Male,4,Laboratory Technician,Married,37300,1.0,25,1,8.0,4,8,6,3,3.0,1.0,4.0,3,4,7.536509370816389
1906,36,Yes,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1.0,12,1,16.0,2,16,3,7,3.0,4.0,3.0,3,3,9.444146586345278
1907,33,No,Travel_Rarely,Research & Development,1,4,Medical,Female,4,Manufacturing Director,Single,44650,0.0,13,0,6.0,3,5,1,4,2.0,4.0,3.0,3,3,5.807373940205
1908,37,Yes,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5.0,14,0,17.0,3,14,11,7,1.0,3.0,1.0,2,3,5.723318830878889
1909,45,No,Non-Travel,Research & Development,8,1,Life Sciences,Male,2,Sales Executive,Married,33190,1.0,12,1,9.0,3,9,0,8,3.0,2.0,2.0,3,3,6.0387237840247225
1910,29,No,Travel_Frequently,Research & Development,29,1,Life Sciences,Male,1,Sales Representative,Married,192020,1.0,12,0,3.0,5,3,0,2,3.0,4.0,3.0,3,3,7.516054216867222
1911,35,No,Travel_Rarely,Human Resources,1,3,Human Resources,Male,3,Laboratory Technician,Married,136750,1.0,15,3,5.0,5,5,1,0,3.0,3.0,3.0,2,3,5.899788041053055
1912,52,No,Travel_Rarely,Research & Development,5,4,Other,Male,1,Laboratory Technician,Married,29110,2.0,17,2,26.0,3,9,7,8,4.0,4.0,3.0,3,3,6.8818172690761115
1913,58,Yes,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4.0,14,1,7.0,2,1,0,0,4.0,3.0,3.0,1,3,7.3425937081658335
1914,53,No,Travel_Rarely,Research & Development,9,3,Technical Degree,Male,1,Manager,Divorced,39200,6.0,16,1,22.0,3,17,15,2,3.0,3.0,4.0,3,3,5.9845470771975
1915,30,No,Travel_Rarely,Sales,3,4,Marketing,Male,1,Sales Executive,Divorced,64340,5.0,14,1,10.0,3,8,7,7,3.0,3.0,4.0,2,3,7.785269968763889
1916,38,No,Non-Travel,Sales,4,3,Life Sciences,Male,2,Research Director,Single,100480,1.0,23,1,6.0,2,5,1,3,3.0,4.0,3.0,3,4,7.847051539491111
1917,35,No,Travel_Rarely,Sales,1,2,Life Sciences,Female,2,Healthcare Representative,Divorced,109380,6.0,14,2,12.0,2,10,0,8,4.0,4.0,3.0,1,3,6.64682507809
1918,39,No,Travel_Rarely,Sales,1,1,Marketing,Male,2,Research Scientist,Single,23400,0.0,11,1,9.0,2,8,0,7,1.0,3.0,3.0,2,3,6.131430165104722
1919,40,Yes,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4.0,15,0,22.0,2,1,0,0,2.0,2.0,2.0,3,3,8.810211958946667
1920,47,No,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,3,Sales Executive,Divorced,69310,1.0,11,0,20.0,3,19,2,7,3.0,3.0,4.0,3,3,9.706025211958888
1921,36,No,Non-Travel,Sales,28,1,Life Sciences,Male,2,Research Scientist,Divorced,48980,4.0,13,1,12.0,3,7,0,7,1.0,4.0,3.0,3,3,6.573231816153333
1922,31,Yes,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0.0,21,0,4.0,2,3,1,2,3.0,1.0,3.0,3,4,7.769093038821945
1923,33,No,Non-Travel,Sales,15,3,Other,Male,4,Research Director,Single,194360,1.0,19,2,10.0,4,10,6,0,4.0,3.0,3.0,3,3,7.373640116019445
1924,29,Yes,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6.0,11,1,3.0,2,0,0,0,4.0,1.0,3.0,2,3,10.174724453368889
1925,33,No,Travel_Rarely,Research & Development,2,2,Technical Degree,Male,2,Laboratory Technician,Single,34790,3.0,12,0,5.0,3,3,0,2,2.0,4.0,3.0,3,3,6.9729953145916665
1926,45,No,Travel_Rarely,Research & Development,26,1,Medical,Female,3,Healthcare Representative,Divorced,27940,3.0,19,1,8.0,2,5,0,2,4.0,4.0,3.0,3,3,6.380429495760556
1927,50,No,Travel_Rarely,Sales,10,1,Life Sciences,Female,1,Manufacturing Director,Divorced,52490,9.0,21,2,32.0,2,5,1,3,4.0,4.0,2.0,2,4,6.949890673806111
1928,33,No,Travel_Frequently,Sales,1,3,Marketing,Male,2,Human Resources,Married,21760,1.0,14,1,6.0,2,6,1,2,3.0,2.0,3.0,2,3,8.722841365461667
1929,41,No,Travel_Frequently,Sales,11,3,Other,Male,1,Laboratory Technician,Divorced,168720,2.0,15,1,21.0,2,18,0,11,1.0,3.0,4.0,3,3,7.256364346273889
1930,27,No,Travel_Rarely,Research & Development,20,4,Other,Male,2,Manufacturing Director,Married,34850,9.0,17,2,4.0,2,2,2,2,3.0,2.0,3.0,3,3,6.950257697456389
1931,45,No,Non-Travel,Sales,2,3,Medical,Female,1,Sales Executive,Married,66440,1.0,12,0,9.0,3,9,0,8,4.0,1.0,3.0,4,3,8.516719098616667
1932,47,No,Travel_Rarely,Sales,18,4,Medical,Female,2,Research Scientist,Single,55820,1.0,16,0,9.0,3,9,0,7,4.0,4.0,3.0,3,3,7.7259448906736115
1933,30,Yes,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4.0,12,0,7.0,5,5,0,1,1.0,3.0,3.0,2,3,9.773067826862778
1934,50,No,Travel_Rarely,Research & Development,1,3,Technical Degree,Female,2,Sales Executive,Married,134960,3.0,18,1,22.0,3,12,1,5,4.0,3.0,3.0,3,3,9.22570169567139
1935,38,No,Travel_Frequently,Research & Development,13,3,Technical Degree,Male,1,Manufacturing Director,Married,32100,0.0,17,2,3.0,5,2,0,2,3.0,3.0,2.0,2,3,7.141634315037778
1936,46,No,Travel_Rarely,Research & Development,28,3,Medical,Female,3,Human Resources,Divorced,190450,6.0,11,3,13.0,2,8,0,7,4.0,3.0,3.0,3,3,6.771051985720556
1937,24,No,Travel_Rarely,Sales,28,3,Life Sciences,Female,1,Healthcare Representative,Divorced,118490,1.0,16,1,5.0,3,4,3,2,4.0,3.0,3.0,3,3,6.236465863453611
1938,35,Yes,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1.0,13,3,5.0,1,4,0,2,3.0,2.0,1.0,2,3,9.218939089691945
1939,31,No,Travel_Frequently,Research & Development,5,2,Technical Degree,Male,2,Sales Executive,Married,65020,1.0,12,0,4.0,3,4,0,3,3.0,1.0,3.0,3,3,5.970400490852223
1940,18,No,Non-Travel,Sales,5,4,Other,Male,2,Manager,Single,32300,1.0,12,1,0.0,3,0,0,0,2.0,4.0,3.0,3,3,5.788684738955555
1941,54,No,Travel_Rarely,Sales,23,3,Medical,Female,1,Laboratory Technician,Married,136030,8.0,13,1,22.0,2,10,0,8,3.0,3.0,3.0,3,3,6.3086958946897225
1942,35,No,Travel_Rarely,Research & Development,6,4,Medical,Female,1,Manufacturing Director,Divorced,119960,1.0,19,2,16.0,3,16,10,1,3.0,3.0,2.0,3,3,9.251898705934723
1943,30,No,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,5,Healthcare Representative,Married,56050,0.0,12,1,9.0,0,8,1,7,2.0,1.0,2.0,2,3,9.895960508701389
1944,20,Yes,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1.0,17,1,1.0,3,1,0,0,4.0,1.0,3.0,3,3,7.643934627398333
1945,30,Yes,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0.0,11,0,4.0,3,3,1,2,2.0,2.0,3.0,3,3,7.3814457831325
1946,26,No,Travel_Rarely,Sales,1,3,Marketing,Female,2,Research Scientist,Married,175840,1.0,20,0,8.0,2,8,1,3,4.0,4.0,3.0,3,4,7.429529228023055
1947,22,No,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Representative,Married,49070,1.0,21,1,4.0,2,4,1,1,2.0,1.0,2.0,3,4,6.803904506916389
1948,48,No,Travel_Rarely,Human Resources,2,4,Medical,Male,2,Sales Executive,Single,45540,2.0,11,2,19.0,3,2,2,2,1.0,3.0,3.0,3,3,7.567716421240278
1949,48,No,Travel_Rarely,Sales,3,3,Medical,Male,1,Research Director,Single,54150,7.0,11,1,27.0,1,15,4,8,3.0,3.0,3.0,3,3,6.005153949129722
1950,41,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Research Scientist,Single,47410,6.0,16,0,8.0,3,2,2,1,4.0,3.0,3.0,3,3,6.773713743864167
1951,39,No,Travel_Rarely,Sales,2,3,Life Sciences,Male,3,Human Resources,Married,21150,1.0,18,0,21.0,3,21,11,8,4.0,4.0,3.0,4,3,6.981834002677222
1952,27,No,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,2,Human Resources,Married,31610,0.0,13,2,4.0,0,3,2,2,1.0,4.0,3.0,3,3,7.034967648371111
